xrp_mxn,Porcentage,Time
8.24,0.0,07:09:55
8.24,0.0,07:10:27
8.24,0.0,07:11:00
8.24,0.0,07:11:34
8.24,0.0,07:12:07
8.24,0.0,07:12:40
8.24,0.0,07:13:13
8.24,0.0,07:13:47
8.11,-1.5776699,07:14:20
8.11,0.0,07:14:53
8.11,0.0,07:15:26
8.23,1.47965475,07:15:59
8.23,0.0,07:16:31
8.23,0.0,07:17:04
8.23,0.0,07:17:37
8.23,0.0,07:18:11
8.23,0.0,07:18:44
8.23,0.0,07:19:17
8.23,0.0,07:19:50
8.23,0.0,07:20:23
8.23,0.0,07:20:56
8.11,-1.45808019,07:21:29
8.11,0.0,07:22:02
8.11,0.0,07:22:36
8.11,0.0,07:23:09
8.11,0.0,07:23:41
8.11,0.0,07:24:15
8.23,1.47965475,07:24:48
8.23,0.0,07:25:22
8.23,0.0,07:25:55
8.23,0.0,07:26:28
8.23,0.0,07:27:01
8.23,0.0,07:27:34
8.23,0.0,07:28:07
8.23,0.0,07:28:40
8.23,0.0,07:29:14
8.23,0.0,07:29:47
8.23,0.0,07:30:20
8.23,0.0,07:30:53
8.23,0.0,07:31:27
8.23,0.0,07:32:00
8.23,0.0,07:32:32
8.23,0.0,07:33:06
8.23,0.0,07:33:39
8.23,0.0,07:34:12
8.23,0.0,07:34:45
8.23,0.0,07:35:19
8.23,0.0,07:35:52
8.23,0.0,07:36:26
8.23,0.0,07:36:59
8.23,0.0,07:37:31
8.23,0.0,07:38:05
8.23,0.0,07:38:38
8.23,0.0,07:39:12
8.23,0.0,07:39:44
8.23,0.0,07:40:18
8.23,0.0,07:40:51
8.23,0.0,07:41:24
8.23,0.0,07:41:57
8.23,0.0,07:42:31
8.23,0.0,07:43:04
8.23,0.0,07:43:38
8.23,0.0,07:44:10
8.23,0.0,07:44:43
8.23,0.0,07:45:16
8.23,0.0,07:45:50
8.11,-1.45808019,07:46:23
8.11,0.0,07:46:56
8.11,0.0,07:47:30
8.11,0.0,07:48:02
8.11,0.0,07:48:36
8.11,0.0,07:49:09
8.11,0.0,07:49:42
8.23,1.47965475,07:50:15
8.23,0.0,07:50:49
8.23,0.0,07:51:22
8.23,0.0,07:51:55
8.22,-0.12150668,07:52:29
8.22,0.0,07:53:02
8.22,0.0,07:53:35
8.22,0.0,07:54:09
8.1,-1.45985401,07:54:42
8.1,0.0,07:55:15
8.1,0.0,07:55:48
8.21,1.35802469,07:56:21
8.21,0.0,07:56:55
8.21,0.0,07:57:28
8.21,0.0,07:58:01
8.21,0.0,07:58:34
8.21,0.0,07:59:08
8.21,0.0,07:59:41
8.21,0.0,08:00:15
8.21,0.0,08:00:49
8.21,0.0,08:01:22
8.21,0.0,08:01:55
8.21,0.0,08:02:29
8.21,0.0,08:03:02
8.18,-0.36540804,08:03:35
8.18,0.0,08:04:09
8.18,0.0,08:04:42
8.18,0.0,08:05:15
8.11,-0.85574572,08:05:48
8.11,0.0,08:06:22
8.11,0.0,08:06:55
8.18,0.86313194,08:07:29
8.18,0.0,08:08:02
8.11,-0.85574572,08:08:35
8.11,0.0,08:09:08
8.11,0.0,08:09:41
8.11,0.0,08:10:15
8.25,1.72626387,08:10:48
8.25,0.0,08:11:21
